,cluster,rgb_ce,rgb_ce_err,rgb_mg,rgb_mg_err,rgb_fe,rgb_fe_err,rgb_N_stars,Name,GLON,GLAT,RAdeg,DEdeg,CG_Rad,CG_PMRA,CG_PMRA_ERR,CG_PMDE,CG_PMDE_ERR,V_RAD,V_RAD_ERR,CG_R_GC,CG_DistPc,CG_logAge,R_Guide,Z_Height,Z_Max,Azimuth_Angle,Eccentricity,Z_Period_Avg,Radial_Period_Avg,Fe_H_ASPCAP,C_H,C_H_ERR,N_H,N_H_ERR,O_H,O_H_ERR,Na_H,Na_H_ERR,Mg_H,Mg_H_ERR,Al_H,Al_H_ERR,Si_H,Si_H_ERR,P_H,P_H_ERR,S_H,S_H_ERR,K_H,K_H_ERR,Ca_H,Ca_H_ERR,Ti_H,Ti_H_ERR,V_H,V_H_ERR,Cr_H,Cr_H_ERR,Mn_H,Mn_H_ERR,Fe_H,Fe_H_ERR,Co_H,Co_H_ERR,Ni_H,Ni_H_ERR,Cu_H,Cu_H_ERR,Ce_H,Ce_H_ERR,Nd_H,Nd_H_ERR,Num_Stars_ASPCAP,OCCAM_Qual,EH_Rad,EH_PMRA,EH_PMRA_ERR,EH_PMDE,EH_PMDE_ERR,EH_R_GC,EH_DistPc,EH_logAge
0,BH_211,0.26006762,0.046638032499999996,0.100673502,0.0122163415,0.1960639,0.010221507500000001,2,BH_211,344.94746911,0.461,255.52714971,-41.1121459,0.082,-0.671,0.159,-1.943,0.146,-49.0046,0.4385,6.52,1903.0,8.63,6.967,0.0315,0.0359,184.346,0.091,59.957,132.242,0.1961,0.1209,0.0226,0.6271,0.0458,0.1138,0.0235,0.4564,0.0243,0.1007,0.0428,0.2104,0.0471,0.1952,0.04,0.2294,0.1298,0.2103,0.02,0.1488,0.094,0.1147,0.0413,0.0949,0.0312,-0.4062,0.1398,0.1608,0.02,0.2923,0.02,0.1961,0.02,0.2826,0.1298,0.1843,0.0255,-9999.0,-9999.0,0.2601,0.0466,0.4832,0.0549,2,2,0.319,-0.71,0.01,-1.923,0.01,6.532,1661.3,8.23
1,Berkeley_10,0.34302011666666665,0.047930788333333335,-0.21648782333333336,0.028324165000000002,-0.122104422,0.01155495,3,Berkeley_10,138.61430359,8.881,54.88477481,66.48904483,0.082,-1.47,0.07,1.047,0.106,-36.9024,0.02,10.211,2365.0,9.08,11.062,0.3903,0.4327,171.297,0.107,160.271,230.48,-0.1073,-0.3717,0.0369,0.3524,0.02,-0.2573,0.0223,-0.066,0.02,-0.1921,0.0346,-0.2123,0.0525,-0.1227,0.0284,-0.7246,0.0488,-0.0513,0.02,-0.1548,0.02,-0.0937,0.0351,-0.2926,0.0347,0.3752,0.0523,-0.2187,0.02,-0.1341,0.02,-0.1073,0.02,-0.137,0.1355,-0.1405,0.02,-0.1188,0.1366,0.2917,0.0484,-0.513,0.0529,1,1,0.207,-1.497,0.005,1.005,0.005,9.995,2357.1,8.53
2,Berkeley_13,0.30634013000000004,0.047711263000000004,-0.30870199,0.0240552175,-0.21561108499999998,0.011331375000000001,2,Berkeley_13,155.07174403,5.924,73.95276608,52.81025872,0.065,-0.078,0.141,0.558,0.108,-30.4663,0.069,12.025,3958.0,8.69,13.367,0.4382,0.6162,172.068,0.128,239.823,287.077,-0.2156,-0.4059,0.0246,0.1559,0.069,-0.296,0.02,0.0119,0.02,-0.3087,0.0242,-0.2732,0.0504,-0.2085,0.0268,-0.2589,0.2034,-0.1173,0.02,-0.2658,0.0661,-0.2534,0.0274,-0.31,0.0441,-0.3471,0.189,-0.158,0.02,-0.2746,0.0232,-0.2156,0.0289,-0.287,0.1332,-0.2727,0.02,0.0213,0.1347,0.3063,0.0549,-0.1462,0.1266,2,2,0.285,-0.143,0.007,0.528,0.007,11.654,3788.3,8.66
3,Berkeley_17,-0.16621737325,0.04707742775,-0.145999999625,0.016038454437500002,-0.17288233575,0.010653196875,8,Berkeley_17,175.66322367,-3.669,80.14147184,30.57427186,0.071,2.618,0.281,-0.35,0.176,-73.523,0.3443,11.668,3341.0,9.86,11.296,-0.1847,1.7221,178.762,0.253,258.739,253.245,-0.1729,-0.1632,0.0257,0.0035,0.0329,-0.1245,0.0342,-0.173,0.0624,-0.146,0.0349,-0.1484,0.0483,-0.1569,0.0212,0.1952,0.1223,-0.0406,0.0676,-0.0625,0.0474,-0.1817,0.0329,-0.1929,0.0691,-0.4477,0.1098,-0.1822,0.0634,-0.1812,0.044,-0.1729,0.0298,-0.0819,0.1311,-0.1745,0.0244,-0.0023,0.1337,-0.1662,0.0971,-0.1393,0.1417,8,3,0.288,2.537,0.006,-0.342,0.006,11.061,2949.8,9.52
4,Berkeley_18,-0.12132737317857145,0.04767034524999999,-0.33147952357142857,0.02325980832142857,-0.3730160892857143,0.011270567607142857,28,Berkeley_18,163.57667542,5.057,80.5536708,45.46785151,0.117,0.849,0.16,-0.057,0.14,-2.6223,0.7247,13.813,5632.0,9.64,14.695,0.5307,1.3011,173.405,0.093,326.172,315.847,-0.3672,-0.4363,0.0469,-0.1045,0.0661,-0.288,0.0573,-0.2873,0.1319,-0.3258,0.0269,-0.3417,0.0585,-0.301,0.0534,-0.268,0.3151,-0.1981,0.0765,-0.2371,0.0962,-0.3464,0.0908,-0.4199,0.0557,-0.2191,0.2937,-0.4607,0.1197,-0.3685,0.0445,-0.3672,0.032,-0.3485,0.2866,-0.3868,0.0321,-0.462,0.7588,-0.1427,0.0871,-0.5718,0.3037,23,3,0.312,0.782,0.004,-0.059,0.004,12.873,4887.3,9.16
5,Berkeley_19,-0.0134498635,0.04715949,-0.26773348,0.016926553,-0.3508611,0.01076465,1,Berkeley_19,176.91913351,-3.612,81.01323535,29.57177077,0.037,0.757,0.234,-0.329,0.128,17.7422,0.026,14.89,6568.0,9.34,15.519,-0.3767,1.1181,178.644,0.065,338.588,332.059,-0.3509,-0.5553,0.02,-0.0251,0.02,-0.3131,0.02,-0.2366,0.02,-0.2677,0.02,-0.3117,0.0486,-0.3688,0.02,-0.408,0.0472,-0.299,0.02,-0.3545,0.02,-0.3585,0.0218,-0.3765,0.02,-0.876,0.049,-0.425,0.02,-0.3889,0.02,-0.3509,0.02,-0.3477,0.1315,-0.4023,0.02,-0.209,0.1319,-0.0134,0.0472,-0.1992,0.0486,1,1,0.196,0.658,0.012,-0.33,0.012,13.363,5251.6,8.77
6,Berkeley_2,0.200325928,0.0473733694,-0.277694492,0.0217252976,-0.193741088,0.0109830489,5,Berkeley_2,119.70447894,-2.317,6.32180813,60.39113775,0.027,-1.101,0.125,-0.304,0.102,-76.8114,0.1641,13.217,6928.0,8.77,12.91,-0.2507,0.2852,152.942,0.061,180.995,268.291,-0.1889,-0.2717,0.0837,0.1448,0.029,-0.2404,0.02,0.2027,0.2011,-0.2575,0.0213,-0.2538,0.0501,-0.2208,0.0303,-0.6737,0.2476,-0.0629,0.0775,-0.1992,0.0806,-0.2133,0.0457,-0.2511,0.0896,-0.3787,0.182,-0.1215,0.0873,-0.2484,0.0366,-0.1886,0.0316,-0.6119,0.3582,-0.2059,0.0692,-0.0045,0.1316,0.2453,0.052,-0.2857,0.2065,4,3,0.127,-1.134,0.008,-0.394,0.008,11.893,5551.8,8.78
7,Berkeley_20,-0.38070654,0.04771444,-0.35848482666666664,0.021361372333333333,-0.40071776000000003,0.011254700000000001,3,Berkeley_20,203.48330716,-17.37,83.15437664,0.18844258,0.015,0.808,0.258,-0.244,0.16,76.5914,0.0295,16.32,8728.0,9.68,15.161,-2.5662,2.4607,191.73,0.087,374.55,323.471,-0.4753,-0.5161,0.02,-0.137,0.02,-0.3567,0.02,-0.4326,0.02,-0.3922,0.02,-0.3521,0.0485,-0.3529,0.02,-0.0019,0.0471,-0.2856,0.02,-0.3546,0.02,-0.4109,0.0211,-0.4518,0.02,-0.5457,0.0486,-0.4571,0.02,-0.4477,0.02,-0.4193,0.02,-0.4183,0.1313,-0.412,0.02,-0.1577,0.1317,-0.2501,0.0471,-0.9144,0.0486,1,2,0.22,0.827,0.013,-0.246,0.013,15.411,7792.6,9.27
8,Berkeley_21,0.20965087400000001,0.04771354,-0.21760572499999997,0.023443396499999998,-0.2325635875,0.011359662375000001,4,Berkeley_21,186.82746124,-2.476,87.948987,21.81077389,0.031,0.562,0.164,-1.051,0.101,1.2799,0.2642,14.726,6417.0,9.33,14.22,-0.2405,0.3131,182.967,0.099,217.81,299.684,-0.2326,-0.3778,0.0277,0.0517,0.0941,-0.262,0.0812,-0.2849,0.0436,-0.2176,0.0528,-0.2137,0.0504,-0.2882,0.0212,-0.5142,0.2054,-0.1754,0.0621,-0.2952,0.0355,-0.2194,0.0587,-0.2533,0.0469,-0.2731,0.1118,-0.2556,0.0991,-0.2446,0.0493,-0.2326,0.0304,-0.0622,0.1773,-0.2688,0.0339,-0.1621,0.1344,0.2097,0.0959,-0.4099,0.2149,4,2,0.221,0.506,0.009,-1.031,0.009,13.391,5294.6,8.95
9,Berkeley_22,-0.11922321000000001,0.047488632333333336,-0.30850816666666664,0.021330183000000003,-0.31462441999999996,0.011080383333333332,3,Berkeley_22,199.87587606,-8.075,89.61504356,7.75885126,0.022,0.648,0.134,-0.473,0.137,94.7766,0.9123,14.291,6225.0,9.39,13.324,-0.8392,0.8541,188.43,0.153,254.293,282.462,-0.3146,-0.5595,0.1134,0.0697,0.1989,-0.313,0.0275,-0.1227,0.1916,-0.3085,0.0462,-0.2696,0.0848,-0.2661,0.0492,0.0537,0.12,-0.2285,0.0588,-0.2482,0.1872,-0.311,0.0651,-0.3767,0.0433,-0.3728,0.0498,-0.3556,0.0766,-0.3214,0.0532,-0.3146,0.0472,-0.2164,0.1324,-0.3542,0.0304,-0.0717,0.1329,-0.1192,0.0475,-0.6561,0.3466,3,2,0.176,0.564,0.011,-0.39,0.011,13.233,5334.4,8.9
